state_name_en,num_localities,total_area_sqkm,avg_locality_area
Northern,7,364126.2,52018.03
North Darfur,17,317214.93,18659.7
Red Sea,10,215609.09,21560.91
North Kordofan,8,186148.74,23268.59
River Nile,7,130405.28,18629.33
West Kordofan,14,106309.44,7593.53
South Darfur,21,85824.45,4086.88
South Kordofan,17,79330.64,4666.51
Gedaref,12,59542.05,4961.84
East Darfur,9,50775.46,5641.72
Kassala,11,48698.4,4427.13
Sennar,7,39256.57,5608.08
Blue Nile,7,38165.18,5452.17
White Nile,9,37993.78,4221.53
Central Darfur,9,30960.93,3440.1
Aj Jazirah,8,27154.47,3394.31
West Darfur,8,22256.83,2782.1
Khartoum,7,21217.39,3031.06
Abyei PCA,1,10536.82,10536.82
